"HERB_family_2019","HERB_genus","HERB_sp_2019"
"Erebidae","Hyphantria","Hyphantria cunea"
"Erebidae","Orgyia","Orgyia leucostigma"
"Gelechiidae","Anacampsis","Anacampsis innocuella"
"Geometridae","Alsophila","Alsophila pometaria"
"Geometridae","Caripeta","Caripeta divisata"
"Geometridae","Erannis","Erannis tiliaria"
"Geometridae","Lambdina","Lambdina fiscellaria"
"Geometridae","Macaria","Macaria granitata"
"Geometridae","Nepytia","Nepytia canosaria"
"Pyralidae","Dioryctria","Dioryctria abietivorella"
"Tortricidae","Acleris","Acleris variana"
"Tortricidae","Archips","Archips cerasivorana"
"Tortricidae","Choristoneura","Choristoneura rosaceana"
"Tortricidae","Pseudosciaphila","Pseudosciaphila duplex"
"Tortricidae","Rhyacionia","Rhyacionia buoliana"
